s223_class
Temperature
OpeningRatio
SpeedRatio
DimensionlessRatio
VolumeFlowRate
LuminousFluxRatio
Illuminance
Population
RadiantFlux
Area
ForcePerArea
MoleFraction
ElectricPower
Power
Tilt
Azimuth
Count
Torque
Energy
