QuantityKind
Temperature
OpeningRatio
SpeedRatio
DimensionlessRatio
VolumeFlowRate
ThermodynamicTemperature
LuminousFluxRatio
Illuminance
Population
RadiantFlux
Area
ForcePerArea
MoleFraction
ElectricPower
Power
Tilt
Azimuth
Count
